['吉', 'http://www.zdic.net/z/16/js/5409.htm']
['扣', 'http://www.zdic.net/z/1a/js/6263.htm']
['扦', 'http://www.zdic.net/z/1a/js/6266.htm']
['圪', 'http://www.zdic.net/z/17/js/572A.htm']
['考', 'http://www.zdic.net/z/21/js/8003.htm']
['托', 'http://www.zdic.net/z/1a/js/6258.htm']
['圳', 'http://www.zdic.net/z/17/js/5733.htm']
['老', 'http://www.zdic.net/z/21/js/8001.htm']
['圾', 'http://www.zdic.net/z/17/js/573E.htm']
['巩', 'http://www.zdic.net/z/19/js/5DE9.htm']
['执', 'http://www.zdic.net/z/1a/js/6267.htm']
['扩', 'http://www.zdic.net/z/1a/js/6269.htm']
['圹', 'http://www.zdic.net/z/17/js/5739.htm']
['扪', 'http://www.zdic.net/z/1a/js/626A.htm']
['扫', 'http://www.zdic.net/z/1a/js/626B.htm']
['圯', 'http://www.zdic.net/z/17/js/572F.htm']
['圮', 'http://www.zdic.net/z/17/js/572E.htm']
['地', 'http://www.zdic.net/z/17/js/5730.htm']
['扬', 'http://www.zdic.net/z/1a/js/626C.htm']
['场', 'http://www.zdic.net/z/17/js/573A.htm']
['耳', 'http://www.zdic.net/z/21/js/8033.htm']
['芋', 'http://www.zdic.net/z/22/js/828B.htm']
['芏', 'http://www.zdic.net/z/22/js/828F.htm']
['共', 'http://www.zdic.net/z/15/js/5171.htm']
['芊', 'http://www.zdic.net/z/22/js/828A.htm']
['芍', 'http://www.zdic.net/z/22/js/828D.htm']
['芨', 'http://www.zdic.net/z/22/js/82A8.htm']
['芄', 'http://www.zdic.net/z/22/js/8284.htm']
['芒', 'http://www.zdic.net/z/22/js/8292.htm']
['亚', 'http://www.zdic.net/z/15/js/4E9A.htm']
['芝', 'http://www.zdic.net/z/22/js/829D.htm']
['芎', 'http://www.zdic.net/z/22/js/828E.htm']
['芑', 'http://www.zdic.net/z/22/js/8291.htm']
['芗', 'http://www.zdic.net/z/22/js/8297.htm']
['朽', 'http://www.zdic.net/z/1b/js/673D.htm']
['朴', 'http://www.zdic.net/z/1b/js/6734.htm']
